ear,head_pose,mouth_ratio,label,source
0.190546,0.006466,0.011897,0,Bored
0.169118,0.000459,0.011929,0,Bored
0.090335,0.001797,0.01108,0,Bored
0.061841,0.001874,0.014054,0,Bored
0.069573,0.00039,0.012227,0,Bored
0.06466,0.005515,0.011793,0,Bored
0.099454,0.004273,0.022162,0,Bored
0.097203,0.002067,0.012925,0,Bored
0.087742,0.00845,0.013158,0,Bored
0.209118,0.006745,0.011396,0,Bored
0.24393,0.014576,0.010054,0,Bored
0.24657,0.021571,0.013805,0,Bored
0.085686,0.026808,0.013889,0,Bored
0.101939,0.028268,0.012845,0,Bored
0.156322,0.027557,0.008525,0,Bored
0.097945,0.078952,0.032629,0,Bored
0.099054,0.101394,0.027002,0,Bored
0.116149,0.086977,0.026609,0,Bored
0.104022,0.082447,0.017594,0,Bored
0.154697,0.07125,0.016647,0,Bored
0.127205,0.066272,0.009088,0,Bored
0.173626,0.064002,0.010074,0,Bored
0.168405,0.053348,0.002211,0,Bored
0.201886,0.0525,0.001353,0,Bored
0.196934,0.069092,0.004084,0,Bored
0.196317,0.06984,0.001817,0,Bored
0.255963,0.05277,0.004716,0,Bored
0.261764,0.048378,0.004226,0,Bored
0.251702,0.060476,0.002533,0,Bored
0.240962,0.054428,0.003164,0,Bored
0.170895,0.000308,0.017446,0,Bored
0.159543,0.028859,0.014932,0,Bored
0.132405,0.007555,0.013396,0,Bored
0.117755,0.006127,0.006482,0,Bored
0.099867,0.002093,0.009519,0,Bored
0.354507,0.04167,0.005279,0,Bored
0.337778,0.043475,0.009299,0,Bored
0.336508,0.055755,0.003994,0,Bored
0.34524,0.046058,0.002723,0,Bored
0.33367,0.037013,0.001761,0,Bored
0.297317,0.044432,0.003176,0,Bored
0.328497,0.036782,0.003,0,Bored
0.322091,0.041261,0.002293,0,Bored
0.305219,0.046725,0.00382,0,Bored
0.302419,0.043146,0.002555,0,Bored
0.287042,0.043467,0.001538,0,Bored
0.317821,0.041434,0.000687,0,Bored
0.297302,0.034792,0.003402,0,Bored
0.273288,0.032328,0.002661,0,Bored
0.293279,0.031295,0.001531,0,Bored
0.279675,0.032955,0.000782,0,Bored
0.266302,0.026516,0.000979,0,Bored
0.277372,0.030824,0.004651,0,Bored
0.205508,0.030577,0.024834,0,Bored
0.194151,0.021611,0.00532,0,Bored
0.191394,0.031434,0.007465,0,Bored
0.19825,0.024512,0.009272,0,Bored
0.211359,0.030161,0.007275,0,Bored
0.225826,0.038423,0.007914,0,Bored
0.213651,0.034057,0.005801,0,Bored
0.174433,0.028843,0.005463,0,Bored
0.185651,0.032173,0.004264,0,Bored
0.183012,0.031794,0.004279,0,Bored
0.176039,0.036024,0.004904,0,Bored
0.171688,0.035626,0.007874,0,Bored
0.136436,0.030624,0.011953,0,Bored
0.04269,0.046234,0.002108,0,Bored
0.045486,0.046335,0.001623,0,Bored
0.049737,0.051195,0.002109,0,Bored
0.033581,0.04817,0.0028,0,Bored
0.03081,0.04923,0.002739,0,Bored
0.03823,0.046651,0.001199,0,Bored
0.050374,0.043405,0.001314,0,Bored
0.055847,0.04531,0.00085,0,Bored
0.045301,0.047355,0.000673,0,Bored
0.034506,0.050071,0.002215,0,Bored
0.027041,0.044661,0.00145,0,Bored
0.04861,0.048377,0.00138,0,Bored
0.045543,0.048756,0.00382,0,Bored
0.037851,0.050188,0.001245,0,Bored
0.037281,0.048289,0.002109,0,Bored
0.049392,0.042297,0.000518,0,Bored
0.040116,0.03925,0.000799,0,Bored
0.29037,0.036632,0.001299,0,Bored
0.30192,0.034838,0.002068,0,Bored
0.29145,0.035762,0.001861,0,Bored
0.291815,0.037106,0.000824,0,Bored
0.282365,0.034095,0.000971,0,Bored
0.292122,0.035423,0.003977,0,Bored
0.308469,0.035655,0.003006,0,Bored
0.304996,0.038947,2.6e-05,0,Bored
0.286517,0.036519,0.002278,0,Bored
0.276135,0.035027,0.001249,0,Bored
0.292575,0.033208,0.003578,0,Bored
0.273375,0.034581,0.001793,0,Bored
0.28618,0.035604,0.004596,0,Bored
0.292917,0.037797,0.00268,0,Bored
0.293578,0.029822,0.00207,0,Bored
0.227025,0.034318,0.000306,0,Bored
0.074794,0.032584,0.004292,0,Bored
0.083453,0.037688,0.00632,0,Bored
0.072676,0.032493,0.005149,0,Bored
0.196392,0.044451,0.00453,0,Bored
0.188014,0.045352,0.003653,0,Bored
0.195306,0.042788,0.003322,0,Bored
0.18584,0.048251,0.002888,0,Bored
0.172092,0.045522,0.001898,0,Bored
0.19415,0.0466,0.007935,0,Bored
0.221808,0.04816,0.005495,0,Bored
0.228694,0.045902,0.005183,0,Bored
0.213393,0.04439,0.003776,0,Bored
0.215501,0.048104,0.003497,0,Bored
0.22864,0.052228,0.003802,0,Bored
0.238383,0.04825,0.005677,0,Bored
0.220424,0.049724,0.004163,0,Bored
0.224055,0.046401,0.004312,0,Bored
0.228041,0.046706,0.005747,0,Bored
0.219491,0.050359,0.011139,0,Bored
0.216126,0.045628,0.005135,0,Bored
0.222228,0.055161,0.006466,0,Bored
0.199991,0.053185,0.003778,0,Bored
0.223823,0.05116,0.001758,0,Bored
0.224439,0.044288,0.001597,0,Bored
0.230992,0.045167,0.002246,0,Bored
0.247249,0.04908,0.00466,0,Bored
0.255671,0.042576,0.002673,0,Bored
0.244361,0.047041,0.00357,0,Bored
0.240753,0.04581,0.006656,0,Bored
0.236719,0.040462,0.015717,0,Bored
0.314927,0.047869,0.004425,0,Bored
0.319388,0.044157,0.006182,0,Bored
0.296058,0.052879,0.007193,0,Bored
0.256407,0.05479,0.006672,0,Bored
0.28224,0.038885,0.011336,0,Bored
0.300399,0.046535,0.004272,0,Bored
